N,N-gram,count
2,"59,32",2
2,"56,1",2
2,"59,exit",2
2,"72,3",2
2,"3,1",2
2,"1,101",2
2,"9,exit",2
2,"32,72",2
2,"101,59",2
2,"9,59",2
3,"56,1,101",2
3,"72,3,1",2
3,"9,59,exit",2
3,"1,101,59",2
3,"32,72,3",2
3,"59,32,72",2
3,"101,59,32",2
4,"1,101,59,32",2
4,"59,32,72,3",2
4,"101,59,32,72",2
4,"56,1,101,59",2
4,"32,72,3,1",2
5,"59,32,72,3,1",2
5,"56,1,101,59,32",2
5,"101,59,32,72,3",2
5,"1,101,59,32,72",2
6,"56,1,101,59,32,72",2
6,"1,101,59,32,72,3",2
6,"101,59,32,72,3,1",2
